Year,POP,URB,GDP,ENGY,FFEC%,NFFEC%,FFEC,NFFEC,CO2E,CO2C,TMPI,TMPA
2011,74.907377203,37.244015304,42.0607018598296,45.4152283714357,0.81,0.19,36.7863349808629,8.62889339057278,34.47,391.85,0.66,0.53769773
2012,75.897414399,38.096476435,41.494593366867,44.9349482653882,0.81,0.19,36.3973080949644,8.53764017042376,34.97,394.06,0.69,0.5776071
2013,76.902384758,38.965512733,43.0399791763987,44.2163325216906,0.81,0.19,35.8152293425693,8.4011031791212,35.28,396.74,0.74,0.6235754
2014,77.910620148,39.84712704,44.0579480372064,47.3176230005264,0.81,0.19,39.0457707027435,8.2998909154892,35.53,398.81,0.78,0.67287165
2015,78.916920405,40.740979327,39.7293919459066,47.6973993387222,0.8,0.2,39.5506659091949,8.18090257873535,35.5,401.01,0.83,0.82511437
2016,79.927585952,41.646429375,40.0168865274399,48.0839878713608,0.819616274256987,0.180670858322628,40.0776565486908,8.04717920322418,35.45,404.41,0.87,0.93292713
2017,80.941863102,42.561442149,42.0863155766443,48.4785684717178,0.821574254321604,0.178773412526425,40.6281815387726,7.89848099994659,35.93,406.76,0.91,0.84517425
2018,81.934806999,43.469888152,44.5456163225247,48.8823210119247,0.823542968220863,0.176870456509278,41.2036797939301,7.73456818084717,36.65,408.72,0.92,0.762654
2019,82.907215551,44.371690984,43.9220251339856,49.2964253675461,0.82551423750192,0.174970345900874,41.8055902347565,7.55520095672608,36.7,411.66,0.93,0.8910726
2020,83.865774745,45.271304967,38.0569589631875,49.7220614091873,0.827479883711931,0.173081436345456,42.4353517734528,7.36013953914642,34.81,414.24,0.93,0.9227938
2021,84.767584144,46.133838462,34.618792228895,50.1604090112686,0.829431728405325,0.171212083469072,43.0944033283234,7.14914413909912,36.4,416.45,0.94,0.7618559
